t_ms,raw,volts,ohms
54776,3709.8,2.99,1038
54826,3710.8,2.99,1036
54876,3710.5,2.99,1036
54926,3711.1,2.991,1035
54976,3713.9,2.993,1026
55026,3709.8,2.99,1038
55076,3711.8,2.991,1033
55126,3713.6,2.993,1027
55176,3710.9,2.99,1035
55226,3712.2,2.992,1031
55276,3710.5,2.99,1036
55326,3710.7,2.99,1036
55376,3710.9,2.99,1035
55426,3713.1,2.992,1029
55476,3712.3,2.992,1031
55526,3709.3,2.989,1040
55576,3709.6,2.989,1039
55626,3709.4,2.989,1040
55676,3709.6,2.989,1039
55726,3704.4,2.985,1054
55776,3706.1,2.987,1049
55826,3707.9,2.988,1044
55876,3708.2,2.988,1043
55926,3713.1,2.992,1029
55976,3712.9,2.992,1029
56026,3716.4,2.995,1019
56076,3716.6,2.995,1018
56126,3716.9,2.995,1017
56176,3717.5,2.996,1015
56226,3720,2.998,1008
56276,3721.8,2.999,1003
56326,3725.3,3.002,993
56376,3726.2,3.003,990
56426,3723.4,3.001,998
56476,3723.1,3,999
56526,3724.2,3.001,996
56576,3724.3,3.001,995
56626,3725.4,3.002,992
56676,3726.7,3.003,988
56726,3727.5,3.004,986
56776,3724.9,3.002,994
56826,3726.9,3.003,988
56876,3725.9,3.003,991
56926,3725.6,3.002,991
56976,3727.4,3.004,986
57026,3728.5,3.005,983
57076,3726.8,3.003,988
57126,3725.9,3.003,991
57176,3728.9,3.005,982
57226,3728.9,3.005,982
57276,3725.8,3.002,991
57326,3728.3,3.005,984
57376,3726.7,3.003,988
57426,3725,3.002,993
57476,3721.7,2.999,1003
57526,3718,2.996,1014
57576,3715.8,2.994,1020
57626,3715.6,2.994,1021
57676,3715.6,2.994,1021
57726,3714.6,2.993,1024
57776,3714.3,2.993,1025
57826,3712.9,2.992,1029
57876,3710.1,2.99,1037
57926,3711.8,2.991,1033
57976,3711.9,2.991,1032
58026,3713.5,2.993,1027
58076,3715.8,2.994,1021
58126,3716.4,2.995,1019
58176,3718.3,2.996,1013
58226,3718.5,2.997,1013
58276,3717.8,2.996,1015
58326,3720.4,2.998,1007
58376,3721.3,2.999,1004
58426,3724.4,3.001,995
58476,3725.8,3.002,991
58526,3726,3.003,990
58576,3725.2,3.002,993
58626,3731.3,3.007,975
58676,3727.3,3.004,987
58726,3728.4,3.005,983
58776,3728.7,3.005,982
58826,3729.6,3.006,980
58876,3728.8,3.005,982
58926,3733.3,3.008,969
58976,3730.3,3.006,978
59026,3730.7,3.006,977
59076,3730.8,3.006,976
59126,3730,3.006,979
59176,3731,3.007,976
59226,3730.4,3.006,977
59276,3729.4,3.005,980
59326,3730.1,3.006,978
59376,3731.2,3.007,975
59426,3726.2,3.003,990
59476,3727.8,3.004,985
59526,3724.9,3.002,994
59576,3727.7,3.004,985
59626,3723.6,3.001,997
59676,3721,2.999,1005
59726,3720.1,2.998,1008
59776,3717.1,2.995,1017
59826,3715.5,2.994,1021
59876,3718.4,2.996,1013
59926,3714.8,2.994,1024
59976,3716,2.995,1020
60026,3713.5,2.993,1027
60076,3705.6,2.986,1051
60126,3704.3,2.985,1055
60176,3699.6,2.981,1069
60226,3701.9,2.983,1062
60276,3705.3,2.986,1052
60326,3712,2.991,1032
60376,3712.4,2.992,1030
60426,3714.7,2.994,1024
60476,3714.9,2.994,1023
60526,3718.1,2.996,1014
60576,3718.1,2.996,1014
60626,3719.4,2.997,1010
60676,3719.1,2.997,1011
60726,3722.9,3,999
60776,3724.3,3.001,996
60826,3724.3,3.001,996
60876,3724.6,3.001,995
60926,3724.4,3.001,995
60976,3726,3.003,990
61026,3726.9,3.003,988
61076,3727.4,3.004,986
61126,3726.8,3.003,988
61176,3722.4,3,1001
61226,3725.9,3.003,991
61276,3723.1,3,999
61326,3718.1,2.996,1014
61376,3716.8,2.995,1018
61426,3714.6,2.993,1024
61476,3715.2,2.994,1022
