t_ms,raw,volts,ohms
68800,3712.8,2.992,1030.0
68850,3716.1,2.995,1020.0
68900,3717.7,2.996,1015.0
68950,3716.8,2.995,1018.0
69000,3716.2,2.995,1019.0
69050,3712.8,2.992,1030.0
69100,3715.6,2.994,1021.0
69150,3714.8,2.994,1023.0
69200,3718.4,2.997,1013.0
69250,3715.1,2.994,1023.0
69300,3715.1,2.994,1023.0
69350,3717.7,2.996,1015.0
69400,3716.4,2.995,1019.0
69450,3718.6,2.997,1012.0
69500,3716.4,2.995,1019.0
69550,3717.8,2.996,1015.0
69600,3718.8,2.997,1012.0
69650,3716.5,2.995,1018.0
69700,3714.2,2.993,1025.0
69750,3711.1,2.991,1034.0
69800,3715.6,2.994,1021.0
69850,3711.6,2.991,1033.0
69900,3709.6,2.989,1039.0
69950,3707.6,2.988,1045.0
70000,3707.4,2.988,1046.0
70050,3705.6,2.986,1051.0
70100,3705.6,2.986,1051.0
70150,3704.6,2.985,1054.0
70200,3707.1,2.987,1046.0
70250,3710.0,2.99,1038.0
70300,3714.3,2.993,1025.0
70350,3713.3,2.992,1028.0
70400,3714.3,2.993,1025.0
70450,3711.7,2.991,1033.0
70500,3716.8,2.995,1018.0
70550,3715.6,2.994,1021.0
70600,3708.1,2.988,1044.0
70650,3710.9,2.99,1035.0
70700,3713.3,2.992,1028.0
70750,3712.9,2.992,1029.0
70800,3714.5,2.993,1024.0
70850,3711.1,2.991,1034.0
70900,3714.6,2.993,1024.0
70950,3713.6,2.993,1027.0
71000,3714.4,2.993,1025.0
71050,3714.5,2.993,1024.0
71100,3714.3,2.993,1025.0
71150,3713.8,2.993,1026.0
71200,3716.3,2.995,1019.0
71250,3713.3,2.992,1028.0
71300,3714.7,2.994,1024.0
71350,3715.3,2.994,1022.0
71400,3713.4,2.992,1028.0
71450,3715.6,2.994,1021.0
71500,3714.3,2.993,1025.0
71550,3712.8,2.992,1029.0
71600,3714.3,2.993,1025.0
71650,3715.7,2.994,1021.0
71700,3716.3,2.995,1019.0
71750,3712.1,2.991,1032.0
71800,3714.3,2.993,1025.0
71850,3711.8,2.991,1033.0
71900,3709.4,2.989,1040.0
71950,3702.9,2.984,1059.0
72000,3689.9,2.974,1098.0
72050,3685.2,2.97,1112.0
72100,3680.8,2.966,1125.0
72150,3676.9,2.963,1137.0
72200,3668.8,2.957,1162.0
72250,3671.5,2.959,1153.0
72300,3671.8,2.959,1153.0
72350,3676.0,2.962,1140.0
72400,3683.5,2.968,1117.0
72450,3685.4,2.97,1111.0
72500,3689.3,2.973,1100.0
72550,3688.6,2.973,1102.0
72600,3689.8,2.973,1098.0
72650,3695.4,2.978,1081.0
72700,3697.6,2.98,1075.0
72750,3698.1,2.98,1073.0
72800,3697.9,2.98,1074.0
72850,3698.4,2.98,1072.0
72900,3698.5,2.98,1072.0
72950,3699.3,2.981,1070.0
73000,3701.2,2.983,1064.0
73050,3700.1,2.982,1067.0
73100,3697.5,2.98,1075.0
73150,3699.6,2.981,1069.0
73200,3700.0,2.982,1068.0
73250,3698.1,2.98,1073.0
73300,3694.4,2.977,1084.0
73350,3693.9,2.977,1086.0
73400,3689.7,2.973,1099.0
73450,3690.8,2.974,1095.0
73500,3690.3,2.974,1097.0
73550,3693.8,2.977,1086.0
73600,3693.8,2.977,1086.0
73650,3699.3,2.981,1070.0
73700,3699.2,2.981,1070.0
73750,3700.6,2.982,1066.0
73800,3700.7,2.982,1066.0
73850,3701.1,2.983,1064.0
73900,3701.0,2.982,1065.0
73950,3700.9,2.982,1065.0
74000,3701.8,2.983,1062.0
74050,3703.1,2.984,1058.0
74100,3704.1,2.985,1055.0
74150,3704.4,2.985,1054.0
74200,3701.1,2.983,1064.0
74250,3703.9,2.985,1056.0
74300,3704.0,2.985,1056.0
74350,3704.7,2.985,1054.0
74400,3704.2,2.985,1055.0
74450,3702.5,2.984,1060.0
74500,3702.7,2.984,1060.0
74550,3701.1,2.983,1064.0
74600,3696.5,2.979,1078.0
74650,3691.6,2.975,1093.0
74700,3692.8,2.976,1089.0
74750,3688.4,2.972,1102.0
74800,3695.6,2.978,1081.0
74850,3697.7,2.98,1074.0
74900,3698.8,2.981,1071.0
74950,3698.2,2.98,1073.0
75000,3703.0,2.984,1059.0
75050,3706.3,2.987,1049.0
75100,3704.1,2.985,1055.0
75150,3705.9,2.986,1050.0
75200,3704.0,2.985,1056.0
75250,3700.4,2.982,1066.0
75300,3703.3,2.984,1058.0
75350,3701.3,2.983,1064.0
75400,3699.7,2.981,1069.0
75450,3694.8,2.978,1083.0
75500,3687.7,2.972,1105.0
75550,3681.0,2.966,1125.0
75600,3671.9,2.959,1152.0
75650,3661.5,2.951,1184.0
75700,3652.3,2.943,1212.0
75750,3644.8,2.937,1235.0
75800,3630.3,2.926,1280.0
75850,3629.4,2.925,1283.0
75900,3626.6,2.923,1291.0
75950,3623.7,2.92,1301.0
76000,3629.3,2.925,1283.0
76050,3623.7,2.92,1301.0
76100,3631.0,2.926,1278.0
76150,3631.4,2.926,1277.0
76200,3631.4,2.926,1277.0
76250,3633.6,2.928,1270.0
76300,3632.9,2.928,1272.0
76350,3636.8,2.931,1260.0
76400,3631.7,2.927,1276.0
76450,3637.0,2.931,1259.0
76500,3632.5,2.927,1273.0
76550,3635.1,2.929,1265.0
76600,3637.3,2.931,1258.0
76650,3640.1,2.933,1250.0
76700,3639.5,2.933,1252.0
76750,3641.4,2.934,1246.0
76800,3641.3,2.934,1246.0
76850,3648.8,2.94,1223.0
76900,3650.3,2.942,1218.0
76950,3650.0,2.941,1219.0
77000,3660.1,2.95,1188.0
77050,3661.8,2.951,1183.0
77100,3665.5,2.954,1172.0
77150,3667.0,2.955,1167.0
77200,3673.2,2.96,1148.0
77250,3675.7,2.962,1141.0
77300,3676.1,2.962,1139.0
77350,3680.8,2.966,1125.0
77400,3684.0,2.969,1116.0
77450,3684.9,2.97,1113.0
77500,3686.7,2.971,1108.0
77550,3683.3,2.968,1118.0
