t_ms,raw,volts,ohms
40600,3797.7,3.06,783.0
40650,3802.8,3.064,769.0
40700,3801.1,3.063,773.0
40750,3800.7,3.063,774.0
40800,3801.2,3.063,773.0
40850,3802.1,3.064,770.0
40900,3798.0,3.061,782.0
40950,3802.7,3.064,769.0
41000,3801.8,3.064,771.0
41050,3798.6,3.061,780.0
41100,3800.6,3.063,775.0
41150,3799.6,3.062,777.0
41200,3800.4,3.063,775.0
41250,3800.4,3.063,775.0
41300,3799.0,3.061,779.0
41350,3798.8,3.061,780.0
41400,3800.1,3.062,776.0
41450,3801.7,3.064,772.0
41500,3800.4,3.063,775.0
41550,3804.1,3.066,765.0
41600,3801.1,3.063,773.0
41650,3801.6,3.064,772.0
41700,3800.6,3.063,775.0
41750,3799.5,3.062,778.0
41800,3801.0,3.063,773.0
41850,3801.8,3.064,771.0
41900,3800.3,3.063,775.0
41950,3800.9,3.063,774.0
42000,3803.0,3.065,768.0
42050,3800.4,3.063,775.0
42100,3802.1,3.064,770.0
42150,3800.4,3.063,775.0
42200,3802.0,3.064,771.0
42250,3799.6,3.062,778.0
42300,3802.3,3.064,770.0
42350,3797.9,3.061,782.0
42400,3799.9,3.062,776.0
42450,3800.3,3.062,776.0
42500,3800.9,3.063,774.0
42550,3800.8,3.063,774.0
42600,3801.6,3.064,772.0
42650,3802.0,3.064,771.0
42700,3801.1,3.063,773.0
42750,3800.1,3.062,776.0
42800,3800.5,3.063,775.0
42850,3802.6,3.064,769.0
42900,3802.8,3.065,768.0
42950,3801.4,3.063,772.0
43000,3802.5,3.064,769.0
43050,3802.1,3.064,770.0
43100,3799.6,3.062,777.0
43150,3803.2,3.065,767.0
43200,3800.3,3.063,775.0
43250,3801.6,3.064,772.0
43300,3802.3,3.064,770.0
43350,3803.3,3.065,767.0
43400,3802.9,3.065,768.0
43450,3799.9,3.062,776.0
43500,3801.3,3.063,773.0
43550,3800.7,3.063,774.0
43600,3802.7,3.064,769.0
43650,3801.2,3.063,773.0
43700,3803.0,3.065,768.0
43750,3802.1,3.064,770.0
43800,3799.8,3.062,777.0
43850,3802.2,3.064,770.0
43900,3802.4,3.064,770.0
43950,3802.1,3.064,770.0
44000,3802.4,3.064,769.0
44050,3803.9,3.065,765.0
44100,3800.7,3.063,774.0
44150,3800.4,3.063,775.0
44200,3801.8,3.064,771.0
44250,3801.9,3.064,771.0
44300,3801.8,3.064,771.0
44350,3800.9,3.063,774.0
44400,3804.1,3.066,765.0
44450,3800.7,3.063,774.0
44500,3800.3,3.063,775.0
44550,3802.9,3.065,768.0
44600,3801.0,3.063,773.0
44650,3801.8,3.064,771.0
44700,3800.4,3.063,775.0
44750,3800.1,3.062,776.0
44800,3799.3,3.062,778.0
44850,3801.3,3.063,773.0
44900,3803.2,3.065,767.0
44950,3803.1,3.065,767.0
45000,3801.8,3.064,771.0
