t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
50,0,0,640,-0.163,-0.956,-0.235,1.5,3.6,0.1
100,0,0,642,-0.17,-0.965,-0.223,-2,-7,-0.3
150,0,0,638,-0.182,-0.969,-0.206,2.3,5.7,0.1
200,0,0,639,-0.172,-0.966,-0.223,-1.3,-4.5,-1.6
250,0,0,644,-0.144,-0.962,-0.218,-2.4,-1.4,-0.1
300,0,0,642,-0.182,-0.956,-0.215,1.3,4.3,0.3
350,0,0,637,-0.146,-0.966,-0.219,-2.6,-1.6,-0.3
400,0,0,641,-0.171,-0.961,-0.21,0.2,-4.1,-1
450,0,0,634,-0.157,-0.973,-0.228,2.2,4.6,0.7
500,0,0,637,-0.166,-0.966,-0.215,-2,-4.2,0.1
550,0,0,637,-0.163,-0.97,-0.218,3.6,6.4,2
600,0,0,633,-0.176,-0.954,-0.226,-0.1,-2.5,0.1
650,0,0,639,-0.163,-0.964,-0.223,0.7,-1,0.6
700,0,0,635,-0.173,-0.966,-0.218,1.2,1.2,0.6
750,0,0,637,-0.182,-0.965,-0.222,-0.6,-0.9,0.5
800,0,0,636,-0.152,-0.966,-0.212,0.5,0.1,1
850,0,0,638,-0.183,-0.96,-0.224,1.6,2.5,0.9
900,0,0,642,-0.17,-0.962,-0.214,-0.5,-3.2,-0.1
950,0,0,641,-0.18,-0.968,-0.225,3.1,4,0.5
1000,0,0,634,-0.169,-0.958,-0.213,-1,-5.2,-0.8
1050,0,0,636,-0.172,-0.972,-0.21,2,-2.8,-1.1
1100,0,0,639,-0.162,-0.97,-0.214,1.7,1,2
1150,0,0,636,-0.169,-0.962,-0.226,-0.7,-1.1,1.2
1200,0,0,636,-0.156,-0.96,-0.222,2.5,8.1,2.4
1250,0,0,632,-0.163,-0.971,-0.204,-0.5,-1.5,2.9
1300,0,0,633,-0.145,-0.969,-0.21,3.6,7.1,4.3
1350,0,0,636,-0.14,-0.979,-0.224,2.1,9.9,7.1
1400,0,0,635,-0.155,-0.978,-0.191,3.7,14.2,8.9
1450,0,0,635,-0.125,-0.974,-0.219,2.3,16.5,12.5
1500,0,0,641,-0.135,-0.958,-0.219,6.2,29,17.3
