t_ms,raw,volts,ohms
46250,3838.1,3.093,669.0
46300,3835.2,3.091,677.0
46350,3837.3,3.092,672.0
46400,3839.3,3.094,666.0
46450,3838.5,3.093,668.0
46500,3839.1,3.094,667.0
46550,3836.9,3.092,673.0
46600,3837.2,3.092,672.0
46650,3835.6,3.091,676.0
46700,3838.1,3.093,669.0
46750,3837.6,3.093,671.0
46800,3834.3,3.09,680.0
46850,3839.3,3.094,666.0
46900,3835.6,3.091,676.0
46950,3839.8,3.094,665.0
47000,3837.1,3.092,672.0
47050,3838.1,3.093,669.0
47100,3839.2,3.094,666.0
47150,3838.1,3.093,669.0
47200,3836.8,3.092,673.0
47250,3837.8,3.093,670.0
47300,3839.3,3.094,666.0
47350,3837.3,3.092,672.0
47400,3838.4,3.093,669.0
47450,3834.1,3.09,680.0
47500,3837.5,3.092,671.0
47550,3837.1,3.092,672.0
47600,3835.2,3.091,677.0
47650,3838.8,3.094,667.0
47700,3838.9,3.094,667.0
47750,3838.0,3.093,670.0
47800,3840.2,3.095,664.0
47850,3839.0,3.094,667.0
47900,3839.1,3.094,666.0
47950,3839.9,3.094,664.0
48000,3838.6,3.093,668.0
48050,3837.3,3.092,672.0
48100,3834.4,3.09,680.0
48150,3837.2,3.092,672.0
48200,3835.1,3.091,678.0
48250,3837.3,3.092,672.0
48300,3837.9,3.093,670.0
48350,3837.2,3.092,672.0
48400,3841.4,3.096,660.0
48450,3836.9,3.092,673.0
48500,3840.2,3.095,664.0
48550,3839.3,3.094,666.0
48600,3839.1,3.094,667.0
48650,3834.9,3.09,678.0
48700,3838.4,3.093,668.0
48750,3839.1,3.094,667.0
48800,3840.5,3.095,663.0
48850,3839.0,3.094,667.0
48900,3837.6,3.093,671.0
48950,3836.8,3.092,673.0
49000,3836.8,3.092,673.0
49050,3837.9,3.093,670.0
49100,3834.8,3.09,678.0
49150,3838.6,3.093,668.0
49200,3835.7,3.091,676.0
49250,3837.9,3.093,670.0
49300,3838.4,3.093,668.0
49350,3834.9,3.09,678.0
49400,3838.9,3.094,667.0
49450,3839.9,3.094,664.0
49500,3836.3,3.092,674.0
49550,3837.4,3.092,671.0
49600,3836.4,3.092,674.0
49650,3836.1,3.091,675.0
49700,3834.4,3.09,680.0
49750,3838.9,3.094,667.0
49800,3835.6,3.091,676.0
49850,3839.1,3.094,667.0
49900,3837.9,3.093,670.0
49950,3839.6,3.094,665.0
50000,3836.5,3.092,674.0
50050,3835.8,3.091,676.0
50100,3839.1,3.094,667.0
50150,3838.6,3.093,668.0
50200,3834.8,3.09,679.0
50250,3839.9,3.094,664.0
50300,3841.4,3.096,660.0
50350,3838.0,3.093,670.0
50400,3839.3,3.094,666.0
50450,3840.4,3.095,663.0
50500,3839.1,3.094,667.0
50550,3836.7,3.092,673.0
50600,3834.1,3.09,681.0
50650,3838.6,3.093,668.0
50700,3837.3,3.092,672.0
50750,3835.8,3.091,676.0
50800,3838.4,3.093,668.0
50850,3837.6,3.093,671.0
50900,3837.4,3.092,671.0
50950,3835.6,3.091,676.0
51000,3837.9,3.093,670.0
51050,3839.3,3.094,666.0
51100,3838.6,3.093,668.0
51150,3837.3,3.092,672.0
51200,3836.9,3.092,673.0
51250,3837.2,3.092,672.0
51300,3840.9,3.095,662.0
51350,3839.7,3.094,665.0
51400,3838.2,3.093,669.0
51450,3838.3,3.093,669.0
51500,3838.6,3.093,668.0
51550,3838.9,3.094,667.0
51600,3835.8,3.091,676.0
51650,3836.8,3.092,673.0
51700,3835.7,3.091,676.0
51750,3834.5,3.09,679.0
51800,3838.1,3.093,669.0
51850,3835.1,3.091,678.0
51900,3837.7,3.093,670.0
51950,3836.3,3.092,674.0
52000,3839.4,3.094,666.0
52050,3837.2,3.092,672.0
52100,3838.2,3.093,669.0
52150,3840.0,3.095,664.0
52200,3837.1,3.092,672.0
52250,3839.8,3.094,665.0
52300,3841.7,3.096,659.0
52350,3837.3,3.092,672.0
52400,3837.9,3.093,670.0
52450,3839.3,3.094,666.0
52500,3838.3,3.093,669.0
52550,3841.1,3.095,661.0
