t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
835215,3751.9,3.023,915,0.077,-0.999,0.049,2.3,-2.8,-8.7
835265,3751.6,3.023,915,0.113,-0.962,0.067,-1.8,-4.9,-3.6
835315,3750.3,3.022,919,0.118,-0.985,0.067,-5.2,3.8,-0.6
835365,3753.3,3.025,911,0.113,-1.002,0.061,-2.3,1.3,-0.8
835415,3752.8,3.024,912,0.144,-0.976,0.013,-9.9,13,1.3
835465,3753.1,3.024,911,0.127,-0.987,0.011,-20.1,33.2,2.7
835515,3750.9,3.023,917,0.088,-1,0.047,-16,23.4,-3.1
835565,3751.4,3.023,916,0.052,-0.978,-0.004,-15.3,13.2,-11.3
835615,3752.1,3.024,914,0.105,-1.01,-0.01,-7.8,-9.5,-16.1
835665,3751.4,3.023,916,0.117,-1.063,0.064,2.2,-14.5,-16.2
835715,3751.8,3.023,915,0.173,-0.989,0.053,17.8,-36.4,-15.9
835765,3751.7,3.023,915,0.166,-0.959,0.021,11,-17.3,-16.8
835815,3752.4,3.024,913,0.21,-1.01,0.021,7.5,-31.9,-18.5
835865,3750.5,3.022,919,0.153,-0.981,-0.007,6.4,-27.9,-11.2
835915,3751.8,3.023,915,0.184,-0.986,0.046,10,-15.3,-9.5
835965,3750.9,3.023,917,0.192,-0.969,0.035,10.1,-20,-4.8
836015,3755,3.026,905,0.184,-0.984,0.023,5.9,-19.7,-2.7
836065,3752.3,3.024,913,0.219,-0.968,0.035,4.8,-21.9,2.7
836115,3753.4,3.025,910,0.174,-0.985,0.021,4.1,-17.9,6
836165,3752,3.024,914,0.183,-0.993,0.039,3,-16,7.6
836215,3752.3,3.024,913,0.182,-0.977,0.04,2,-16.4,10.7
836265,3753.8,3.025,909,0.193,-0.967,0.037,0.9,-5.7,12
836315,3754.2,3.025,908,0.17,-1.002,0.056,0.7,-22.6,11.5
836365,3753.8,3.025,909,0.142,-0.985,0.029,-0.8,-15.9,12
836415,3754.9,3.026,906,0.143,-0.991,0.015,-1.6,-14.1,12.2
836465,3753.6,3.025,910,0.107,-1.003,0.013,-1.8,-14.6,12.9
836515,3754.1,3.025,908,0.137,-1.003,-0.004,-2.3,-12.5,9.3
836565,3756.1,3.027,902,0.099,-1.006,0.002,-2.5,-8.8,7.3
836615,3755.6,3.027,904,0.119,-1.019,-0.017,0.3,-9.6,3.1
836665,3753.9,3.025,909,0.099,-1.01,-0.037,1,-4.6,4.5
836715,3754.9,3.026,906,0.087,-0.991,-0.02,-2,2.2,5
836765,3755.2,3.026,905,0.134,-0.999,0.041,-8.2,5.7,5.9
836815,3754.8,3.026,906,0.115,-0.987,0.054,-1.6,-0.7,3.5
836865,3755,3.026,905,0.066,-0.952,-0.168,-58.2,-78.3,6.3
836915,3755.6,3.026,904,0.206,-0.964,0.074,-17.7,-109.6,3.8
836965,3755.1,3.026,905,0.372,-0.895,0.061,-3.3,-10.6,0.3
837015,3754.1,3.025,908,0.227,-1.025,0.101,18.9,40.3,-2.3
837065,3754.6,3.026,907,0.041,-1.012,-0.094,12.5,52.3,-1.1
